timestamp;elapsed_s;record_frame;peak_id;state;x_px;y_px;initial_x_px;initial_y_px;dx_px;dy_px;displacement_px;confidence;missed_frames;search_scale;area_px;threshold;preset
2026-08-12T04:53:51.633;4.520;16;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9411;0;1.000;84.00;254.00;Базовый
2026-08-12T04:53:51.633;4.520;16;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9663;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:51.915;4.802;17;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9397;0;1.000;84.00;254.00;Базовый
2026-08-12T04:53:51.915;4.802;17;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9721;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:52.197;5.084;18;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9397;0;1.000;84.00;254.00;Базовый
2026-08-12T04:53:52.197;5.084;18;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9632;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:52.477;5.364;19;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9397;0;1.000;84.00;254.00;Базовый
2026-08-12T04:53:52.477;5.364;19;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9590;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:52.768;5.655;20;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9397;0;1.000;84.00;254.00;Базовый
2026-08-12T04:53:52.768;5.655;20;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9590;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:53.058;5.945;21;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9397;0;1.000;84.00;254.00;Базовый
