timestamp;elapsed_s;record_frame;peak_id;state;x_px;y_px;confidence;missed_frames;search_scale;area_px;threshold;preset
2026-08-10T12:58:38.733;6.405;22;2;LOCK;1309.3978;867.9556;0.9999;0;1.000;51.00;205.36;Базовый
2026-08-10T12:58:39.026;6.698;23;1;LOCK;1252.4096;913.0379;0.9995;0;1.000;55.00;203.48;Базовый
2026-08-10T12:58:39.026;6.698;23;2;LOCK;1309.3794;867.9845;0.9999;0;1.000;51.00;205.36;Базовый
2026-08-10T12:58:39.302;6.974;24;1;LOCK;1252.4128;913.0340;0.9995;0;1.000;55.00;203.48;Базовый
2026-08-10T12:58:39.302;6.974;24;2;LOCK;1309.3749;867.9907;0.9999;0;1.000;51.00;205.36;Базовый
2026-08-10T12:58:39.577;7.249;25;1;HOLD;1252.4128;913.0340;0.9697;2;1.068;55.00;203.48;Базовый
2026-08-10T12:58:39.577;7.249;25;2;LOCK;1309.4456;868.3078;0.9976;0;1.000;68.00;205.04;Базовый
2026-08-10T12:58:39.861;7.533;26;1;HOLD;1252.4307;913.0211;0.9845;1;1.034;53.00;210.00;Базовый
2026-08-10T12:58:39.861;7.533;26;2;LOCK;1309.6550;869.2945;0.9976;0;1.000;68.00;205.04;Базовый
2026-08-10T12:58:40.141;7.813;27;1;HOLD;1252.4307;913.0211;0.9552;3;1.102;53.00;210.00;Базовый
2026-08-10T12:58:40.141;7.813;27;2;LOCK;1309.7590;869.7770;0.9976;0;1.000;68.00;205.04;Базовый
2026-08-10T12:58:40.421;8.093;28;1;HOLD;1252.4473;913.0098;0.9845;1;1.034;53.00;210.68;Базовый
2026-08-10T12:58:40.421;8.093;28;2;LOCK;1309.6842;869.3443;0.9999;0;1.000;52.00;205.04;Базовый
2026-08-10T12:58:40.698;8.370;29;1;HOLD;1252.4473;913.0098;0.9552;3;1.102;53.00;210.68;Базовый
2026-08-10T12:58:40.698;8.370;29;2;LOCK;1309.7115;869.4699;0.9976;0;1.000;68.00;205.04;Базовый
2026-08-10T12:58:40.977;8.649;30;1;HOLD;1252.4657;912.9873;0.9807;1;1.034;52.00;208.28;Базовый
2026-08-10T12:58:40.977;8.649;30;2;LOCK;1309.7333;869.5853;0.9976;0;1.000;68.00;205.04;Базовый
2026-08-10T12:58:41.255;8.927;31;1;HOLD;1252.4657;912.9873;0.9515;3;1.102;52.00;208.28;Базовый
2026-08-10T12:58:41.255;8.927;31;2;LOCK;1309.7471;869.6695;0.9976;0;1.000;68.00;205.04;Базовый
2026-08-10T12:58:41.540;9.212;32;1;HOLD;1252.4607;912.9813;0.9697;2;1.068;55.00;211.00;Базовый
2026-08-10T12:58:41.540;9.212;32;2;LOCK;1309.6104;869.0469;0.9999;0;1.000;51.00;205.68;Базовый
2026-08-10T12:58:41.821;9.493;33;1;LOCK;1252.4817;912.9813;0.9993;0;1.000;54.00;211.16;Базовый
2026-08-10T12:58:41.821;9.493;33;2;LOCK;1309.4738;868.4016;0.9999;0;1.000;51.00;206.36;Базовый
2026-08-10T12:58:42.118;9.790;34;1;HOLD;1252.4817;912.9813;0.9550;3;1.102;54.00;211.16;Базовый
2026-08-10T12:58:42.118;9.790;34;2;LOCK;1309.3300;867.7171;0.9999;0;1.000;51.00;206.36;Базовый
2026-08-10T12:58:42.413;10.085;35;1;HOLD;1252.4943;912.9910;0.9696;2;1.068;55.00;211.16;Базовый
2026-08-10T12:58:42.413;10.085;35;2;LOCK;1309.2785;867.4720;0.9999;0;1.000;51.00;205.84;Базовый
2026-08-10T12:58:42.701;10.373;36;1;HOLD;1252.5109;912.9926;0.9843;1;1.034;54.00;211.16;Базовый
2026-08-10T12:58:42.701;10.373;36;2;LOCK;1309.2962;867.5548;0.9999;0;1.000;51.00;205.68;Базовый
2026-08-10T12:58:43.000;10.672;37;1;LOCK;1252.5247;912.9937;0.9993;0;1.000;54.00;211.16;Базовый
2026-08-10T12:58:43.000;10.672;37;2;LOCK;1309.3428;867.7705;0.9999;0;1.000;51.00;205.68;Базовый
2026-08-10T12:58:43.289;10.961;38;1;HOLD;1252.5247;912.9937;0.9550;3;1.102;54.00;211.16;Базовый
2026-08-10T12:58:43.289;10.961;38;2;LOCK;1309.3840;867.9636;0.9999;0;1.000;51.00;205.68;Базовый
2026-08-10T12:58:43.576;11.248;39;1;HOLD;1252.4972;913.0069;0.9694;2;1.068;54.00;210.16;Базовый
2026-08-10T12:58:43.576;11.248;39;2;LOCK;1309.4113;868.0232;0.9999;0;1.000;52.00;204.36;Базовый
