timestamp;elapsed_s;record_frame;peak_id;state;x_px;y_px;confidence;missed_frames;search_scale;area_px;threshold;preset
2026-08-10T12:59:03.877;0.234;1;1;HOLD;1252.5052;913.1299;0.9552;3;1.102;55.00;202.52;Базовый
2026-08-10T12:59:03.877;0.234;1;2;LOCK;1309.3923;867.9650;1.0000;0;1.000;51.00;205.72;Базовый
2026-08-10T12:59:04.382;0.738;2;1;LOCK;1252.4789;913.1202;0.9993;0;1.000;54.00;209.68;Базовый
2026-08-10T12:59:04.382;0.738;2;2;LOCK;1309.3932;867.9521;0.9999;0;1.000;52.00;203.84;Базовый
2026-08-10T12:59:04.668;1.025;3;1;HOLD;1252.4789;913.1202;0.9550;3;1.102;54.00;209.68;Базовый
2026-08-10T12:59:04.668;1.025;3;2;LOCK;1309.3977;867.9120;0.9999;0;1.000;52.00;204.00;Базовый
2026-08-10T12:59:04.943;1.300;4;1;HOLD;1252.4525;913.1081;0.9843;1;1.034;54.00;209.68;Базовый
2026-08-10T12:59:04.943;1.300;4;2;LOCK;1309.5416;868.6234;0.9976;0;1.000;69.00;204.68;Базовый
2026-08-10T12:59:05.227;1.583;5;1;HOLD;1252.4525;913.1081;0.9550;3;1.102;54.00;209.68;Базовый
2026-08-10T12:59:05.227;1.583;5;2;LOCK;1309.6769;869.3037;0.9976;0;1.000;69.00;204.68;Базовый
2026-08-10T12:59:05.535;1.891;6;1;HOLD;1252.4392;913.0909;0.9840;1;1.034;53.00;210.00;Базовый
2026-08-10T12:59:05.535;1.891;6;2;LOCK;1309.6346;869.1167;0.9999;0;1.000;51.00;205.68;Базовый
2026-08-10T12:59:05.824;2.181;7;1;LOCK;1252.4294;913.0753;0.9990;0;1.000;53.00;210.00;Базовый
2026-08-10T12:59:05.824;2.181;7;2;LOCK;1309.5134;868.5479;0.9999;0;1.000;51.00;205.00;Базовый
2026-08-10T12:59:06.107;2.464;8;1;HOLD;1252.4294;913.0753;0.9547;3;1.102;53.00;210.00;Базовый
2026-08-10T12:59:06.107;2.464;8;2;LOCK;1309.4009;868.0107;0.9999;0;1.000;51.00;205.00;Базовый
2026-08-10T12:59:06.394;2.750;9;1;LOCK;1252.4097;913.0345;0.9995;0;1.000;53.00;203.48;Базовый
2026-08-10T12:59:06.394;2.750;9;2;LOCK;1309.3399;867.7153;0.9999;0;1.000;51.00;205.00;Базовый
2026-08-10T12:59:06.671;3.027;10;1;LOCK;1252.4006;913.0133;0.9995;0;1.000;53.00;203.48;Базовый
2026-08-10T12:59:06.671;3.027;10;2;LOCK;1309.3293;867.6614;0.9999;0;1.000;51.00;205.00;Базовый
2026-08-10T12:59:06.949;3.306;11;1;LOCK;1252.3962;913.0005;0.9995;0;1.000;53.00;203.48;Базовый
2026-08-10T12:59:06.949;3.306;11;2;LOCK;1309.3364;867.6906;0.9999;0;1.000;51.00;205.00;Базовый
2026-08-10T12:59:07.234;3.591;12;1;HOLD;1252.3957;912.9960;0.9845;1;1.034;53.00;203.48;Базовый
2026-08-10T12:59:07.234;3.591;12;2;LOCK;1309.3630;867.8120;0.9999;0;1.000;51.00;205.00;Базовый
2026-08-10T12:59:07.514;3.871;13;1;HOLD;1252.3957;912.9960;0.9552;3;1.102;53.00;203.48;Базовый
2026-08-10T12:59:07.514;3.871;13;2;LOCK;1309.3874;867.8747;0.9999;0;1.000;52.00;205.36;Базовый
2026-08-10T12:59:07.790;4.147;14;1;LOCK;1252.3921;913.0019;0.9997;0;1.000;56.00;202.96;Базовый
